sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
2233_Unstim,I16,2.4,3.97,2.91,0,0.396,0.0505,0,0,0.153,3.49,0,0.937,0.662,0.208,0.426,0.255,0,2.36,2.58,0,4.51,0.38,2.44,0.642,0.667,0.0222,0.217,2.21,0.212,6.34,1.13,0.0591,0.4,0,1.02,0,0.497,0.0423,0.481,0.666,0.354
2233_Unstim,I17,2.7,3.08,0.461,0,0,0,0,0.114,0.0918,3.51,0,0.667,0.0126,0,0,0,0.278,1.24,2.56,0.504,1.93,0,2.77,0,0.734,0,0,1.04,0.251,5.37,0.842,0.00001051686,0.267,0,0.951,0,0.576,0,0.059,0.379,0
2233_Unstim,I18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233_Unstim,I19,1.98,4.18,3.23,0.181,0.179,0,0.0864,0.0008259297,0,2.97,0.0447,2.17,3.44,1.05,0.224,0.427,0,2.17,2.38,0.499,4.66,0.461,2.17,0.505,0.949,0.135,0.243,1.51,0.325,7.25,0,0.000009426631,0.0821,0,5.3,0.0672,4.28,0.209,0.454,0.554,0
2233_Unstim,I20,2.55,3.81,1.75,0.08,0.804,0.0428,0.274,0.00561,0,3.44,0.0000102389995,1.02,0.75,0.0715,0.113,0.0267,0,1.67,2.11,0.35,4.04,0.0598,3.02,0.0451,0.433,0.0564,0.158,0.92,0.0632,5.86,1.43,0,0.207,0.0303,3.37,0.0978,2.14,0.0838,0.134,0.486,0
2233_Unstim,I21,0.857,3.71,4.86,0,0,0.627,3.72,0,0,3.61,4.17,3.23,1.11,0,0.43,0,0,1.77,3.02,0.393,3.82,0.837,1.22,3.96,1.22,0,0,0.862,1.06,7.13,0,0,0.0151,0,0.914,0,0.956,0,0.167,0.648,0.824
2233_Unstim,I22,2.51,3.9,2.58,0.324,0.734,0.147,0.00538,0,0.0392,3.18,0.0131,1.12,0.307,0.551,0.245,0.48,0,1.81,1.88,0.545,4.73,0.341,2.69,0.114,0.823,0.334,0,1.16,0.152,6.24,0.899,0,0.152,0,5.65,0.0439,4.91,0.473,0.206,0.361,0
2233_Unstim,I23,2.56,4.53,1.81,0.722,0.557,0.25,0,0.0198,0.00604,3.98,0.254,1.49,1.88,3.23,0.119,0.693,0,2.63,2.78,0.636,4.79,1.43,2,0.166,0.937,0,0.817,2.15,0.264,6.51,0,0,0.141,0.178,4.83,0.365,2.87,0.116,0.505,0.387,0.757
2233_Unstim,I24,0.439,3.96,4.25,0,0.0208,2.36,0.0142,0,0,0,0,0.636,0.0399,0.113,0.0242,0.176,0,0.612,0.499,0.326,3.9,2.29,0.659,0,0.186,0.0428,0,2.49,0,5.6,1.35,0,0.141,0,0.394,0.0348,2.59,0,0.135,0.595,0
2233_Unstim,I25,2.13,4.15,3,0.589,0.616,0.278,0,0,0.0493,3.24,0.0709,1.29,0.21,3.2,0,0.616,0,2.27,2.18,0.56,4.91,0.506,2.45,0.565,0.903,0.0903,0,1.47,0.0862,6.56,0.616,0,0.292,0,6.5,0,5.1,0.773,0.449,0.41,0
2233_Unstim,I26,2.51,4,1.85,0.643,0.473,0,0.147,0,0.0006912617,3.49,0,0,2.45,0.618,0.258,1.02,0.22,1.43,1.45,0.442,4.76,0.984,1.66,0.368,1.19,1.19,0.00971,1.03,0.116,7.04,0.796,0.0123,0.286,0,5.7,0.258,5.97,0.641,0.313,0.489,3.46
2248_Unstim,I01,0,0,0,1.49,0,0,0,0,0,0,1.3,0,2.84,1.67,2.89,1.68,0.438,0,0.133,2.7,2.55,0.0757,2.67,0,0.221,0.0598,0,0,0,0.333,0.377,0,0,0,0,0,0.0464,0,0.092,0.0056,0
2248_Unstim,I02,0,0,0,1.17,0,0,0,0,0,0,0,0,4.07,0.0353,3.42,1.4,0.451,0,0.554,0.368,2.5,2.18,0,0,0.0248,0.555,0,0,0,0,0.418,0,0,0,0,0,0,0,0.0982,0,0
